employee_id,name,department,salary,start_date
1000,Employee_0,Marketing,64800.0,2020-01-05
1001,Employee_1,Technology,78500.0,2020-01-12
1004,Employee_4,Sales,77800.0,2020-02-02
1005,Employee_5,Sales,82100.0,2020-02-09
1006,Employee_6,Sales,57100.0,2020-02-16
1007,Employee_7,Human Resources,84800.0,2020-02-23
1008,Employee_8,Technology,60400.0,2020-03-01
1009,Employee_9,Human Resources,86800.0,2020-03-08
1011,Employee_11,Technology,77650.0,2020-03-22
1015,Employee_15,Sales,103500.0,2020-04-19
1016,Employee_16,Marketing,74000.0,2020-04-26
1017,Employee_17,Technology,63700.0,2020-05-03
1018,Employee_18,Technology,77650.0,2020-05-10
1019,Employee_19,Marketing,62800.0,2020-05-17
1020,Employee_20,Technology,73800.0,2020-05-24
1021,Employee_21,Sales,80100.0,2020-05-31
1022,Employee_22,Marketing,79200.0,2020-06-07
1023,Employee_23,Marketing,87400.0,2020-06-14
1024,Employee_24,Technology,75200.0,2020-06-21
1025,Employee_25,Human Resources,96800.0,2020-06-28
1026,Employee_26,Sales,71000.0,2020-07-05
1027,Employee_27,Technology,77650.0,2020-07-12
1028,Employee_28,Technology,77650.0,2020-07-19
1030,Employee_30,Technology,58900.0,2020-08-02
1031,Employee_31,Sales,77800.0,2020-08-09
1032,Employee_32,Sales,71600.0,2020-08-16
1033,Employee_33,Technology,85700.0,2020-08-23
1034,Employee_34,Technology,77650.0,2020-08-30
1036,Employee_36,Marketing,62300.0,2020-09-13
1037,Employee_37,Sales,52300.0,2020-09-20
1038,Employee_38,Human Resources,75450.0,2020-09-27
1039,Employee_39,Technology,87800.0,2020-10-04
1040,Employee_40,,,2020-10-11
1041,Employee_41,Technology,56300.0,2020-10-18
1042,Employee_42,Sales,77600.0,2020-10-25
1043,Employee_43,Technology,80800.0,2020-11-01
1045,Employee_45,Human Resources,77300.0,2020-11-15
1046,Employee_46,,,2020-11-22
1047,Employee_47,Technology,57900.0,2020-11-29
1048,Employee_48,Technology,80400.0,2020-12-06
1049,Employee_49,Sales,83400.0,2020-12-13
1050,Employee_50,Technology,91200.0,2020-12-20
